Stop ID,Stop Abbreviation,Stop Name,Shelter?,Bench?,Route Numbers,Route Name,Latitude,Longitude,ZIP Code
2472,OLDBREEM,OLD HICKORY BLVD & BRENTWOOD CHASE,False,False,37,TUSCULUM - McMURRAY EXPRESS,36.03968,-86.755692,37027
1316,LEBHIGSN,LEBANON PIKE & HIGHLAND VIEW DR SB,False,False,6,LEBANON PIKE,36.207966,-86.611594,37076
151,22APATSN,22ND AVE N & PATTERSON ST SB,True,False,10,CHARLOTTE,36.154016,-86.805493,37203
1093,HARVINWN,HARDING PIKE & VINE CT WB,False,True,"3,5",WEST END - WHITE BRIDGE,36.129788,-86.839515,37205
5231,7AVUNISM,7TH AVE & UNION ST SB,True,False,"1,2,8",100 OAKS,36.163822,-86.783791,37203
4542,MONTVIEW,HWY 70 S & MONTVIEW CONDOS WB,False,False,5,WEST END - BELLEVUE,36.079646,-86.904175,37221
882,EWIDICEN,EWING DR & DICKERSON PIKE EB,False,True,23,DICKERSON ROAD,36.229387,-86.759713,37207
2473,OLDCHAEN,OLD HICKORY BLVD & CHADWICK LN EB,False,False,37,TUSCULUM - McMURRAY EXPRESS,36.040171,-86.752377,37027
1012,GALSEYSN,GALLATIN AVE & SEYMOUR AVE SB,False,True,26,GALLATIN PIKE,36.18571,-86.747616,37206
2108,WOO8SEN,WOODLAND ST & S 8TH ST EB,False,True,20,SCOTT,36.174058,-86.758762,37206
2049,HAMFLIWN,W. HAMILTON AVE & FLICKER DR WB,False,False,14,WHITES CREEK,36.214576,-86.824155,37218
5311,MUR22AEN,MURPHY & 22ND AVE EB,False,False,25,MIDTOWN,36.154685,-86.806089,37203
1296,LEBDONEM,LEBANON PIKE & DONELSON PIKE EB,False,False,6,LEBANON PIKE,36.166944,-86.661052,37214
2649,6AVDEANN,6TH AVE N & DEADERICK ST NB,True,False,"33,35,37",HICKORY HOLLOW-LENOX EXPRESS,36.164724,-86.782714,37243
1729,OLDLAKNF,OLD HICKORY BLVD & LAKESHORE DR NB,False,False,27,OLD HICKORY,36.239099,-86.630265,37138
5082,MXOFULTN,FULTON STATION OUTBOUND,True,False,"15,18,27,33,38,52,55",MURFREESBORO PIKE,36.153405,-86.772328,37211
